,title,vote_average,vote_count,overview
0,Dilwale Dulhania Le Jayenge,9.1,661.0,raj rich carefree happy go lucky second generation nri simran daughter chaudhary baldev singh spite nri strict adherence indian value simran left india married childhood fianc raj leaf india mission hand claim lady love nose whole family thus begin saga
1,The Shawshank Redemption,8.5,8358.0,framed double murder wife lover upstanding banker andy dufresne begin new life shawshank prison put accounting skill work amoral warden long stretch prison dufresne come admired inmate including older prisoner named red integrity unquenchable sense hope
2,The Godfather,8.5,6024.0,spanning year chronicle fictional italian american corleone crime family organized crime family patriarch vito corleone barely survives attempt life youngest son michael step take care would killer launching campaign bloody revenge
3,Your Name.,8.5,1030.0,high schoolers mitsuha taki complete stranger living separate life one night suddenly switch place mitsuha wake taki body bizarre occurrence continues happen randomly two must adjust life around
4,The Dark Knight,8.3,12269.0,batman raise stake war crime help lt jim gordon district attorney harvey dent batman set dismantle remaining criminal organization plague street partnership prof effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizen gotham joker
5,Fight Club,8.3,9678.0,ticking time bomb insomniac slippery soap salesman channel primal male aggression shocking new form therapy concept catch underground fight club forming every town eccentric get way ignites control spiral toward oblivion
6,Pulp Fiction,8.3,8670.0,burger loving hit man philosophical partner drug addled gangster moll washed boxer converge sprawling comedic crime caper adventure unfurl three story ingeniously trip back forth time
7,Schindler's List,8.3,4436.0,true story businessman oskar schindler saved thousand jewish life nazi worked slave factory world war ii
8,Whiplash,8.3,4376.0,direction ruthless instructor talented young drummer begin pursue perfection cost even humanity
9,Spirited Away,8.3,3968.0,ten year old girl wanders away parent along path lead world ruled strange unusual monster like animal parent changed pig along others inside bathhouse full creature ever see world
10,Life Is Beautiful,8.3,3643.0,touching story italian book seller jewish ancestry life little fairy tale creative happy life would come abrupt halt entire family deported concentration camp world war ii locked try convince son whole thing game
11,The Godfather: Part II,8.3,3418.0,continuing saga corleone crime family young vito corleone grows sicily new york michael corleone attempt expand family business la vega hollywood cuba
12,One Flew Over the Cuckoo's Nest,8.3,3001.0,serving time insanity state mental hospital implacable rabble rouser randle patrick mcmurphy inspires fellow patient rebel authoritarian rule head nurse mildred ratched
13,Psycho,8.3,2405.0,larcenous real estate clerk marion crane go lam wad cash hope starting new life end notorious bates motel manager norman bates care housebound mother place seems quirky fine marion decides take shower
14,Once Upon a Time in America,8.3,1104.0,former prohibition era jewish gangster return lower east side manhattan thirty year later must confront ghost regret old life
15,Forrest Gump,8.2,8147.0,man low iq accomplished great thing life present significant historic event case far exceeding anyone imagined could yet despite thing attained one true love eludes forrest gump story man rose challenge proved determination courage love important ability
16,The Empire Strikes Back,8.2,5998.0,epic saga continues luke skywalker hope defeating evil galactic empire learns way jedi aging master yoda darth vader determined ever capture luke meanwhile rebel leader princess leia cocky han solo chewbacca droids c po r thrown various stage capture betrayal despair
17,The Intouchables,8.2,5410.0,true story two men never met quadriplegic aristocrat injured paragliding accident young man project
18,Leon: The Professional,8.2,4293.0,leon top hit man new york earned rep effective cleaner next door neighbor wiped loose cannon dea agent becomes unwilling custodian year old mathilda long mathilda thought turn revenge considers following leon footstep
19,The Green Mile,8.2,4166.0,supernatural tale set death row southern prison gentle giant john coffey posse mysterious power heal people ailment cellblock head guard paul edgecomb recognizes coffey miraculous gift try desperately help stave condemned man execution
20,GoodFellas,8.2,3211.0,true story henry hill half irish half sicilian brooklyn kid adopted neighbourhood gangster early age climb rank mafia family guidance jimmy conway
21,American History X,8.2,3120.0,derek vineyard paroled serving year prison killing two thug tried break steal truck brother danny vineyard narration learn going prison derek skinhead leader violent white supremacist gang committed act racial crime throughout l action greatly influenced danny reformed fresh prison derek severs contact gang becomes determined keep danny going violent path
22,12 Angry Men,8.2,2130.0,defense prosecution rested jury filing jury room decide young spanish american guilty innocent murdering father begin open shut case soon becomes mini drama juror prejudice preconception trial accused
23,Howl's Moving Castle,8.2,2049.0,sophie shy young woman cursed old body spiteful witch chance breaking spell lie self indulgent yet insecure young wizard companion legged walking home
24,Princess Mononoke,8.2,2041.0,ashitaka prince disappearing ainu tribe cursed demonized boar god must journey west find cure along way encounter san young human woman fighting protect forest lady eboshi trying destroy ashitaka must find way bring balance conflict
25,City of God,8.2,1852.0,cidade de deus shantytown started became one rio de janeiro dangerous place beginning tell story place movie describes life various character seen point view narrator buscap buscap raised violent environment despite feeling odds find life seen eye eye artist accident becomes professional photographer gaining freedom
26,Rear Window,8.2,1531.0,professional photographer l b jeff jeffries break leg getting action shot auto race confined new york apartment spends time looking rear window observing neighbor begin suspect man across courtyard may murdered wife jeff enlists help high society fashion consultant girlfriend lisa freemont visiting nurse stella investigate
27,Grave of the Fireflies,8.2,974.0,latter part world war ii boy sister orphaned mother killed firebombing tokyo left survive remains civilian life japan plot follows boy sister best survive japanese countryside battling hunger prejudice pride quiet personal battle
28,Seven Samurai,8.2,892.0,samurai answer village request protection fall hard time town need protection bandit samurai gather six others help teach people defend villager provide soldier food giant battle occurs bandit attack village
29,Cinema Paradiso,8.2,834.0,filmmaker recall childhood fell love movie village theater formed deep friendship theater projectionist
30,Mommy,8.2,734.0,peculiar neighbor offer hope recent widow struggling raise teenager unpredictable sometimes violent
31,Band of Brothers,8.2,725.0,drawn interview survivor easy company well journal letter band brother chronicle experience men paratrooper training georgia end war elite rifle company parachuting normandy early day morning participant battle bulge witness horror war men easy knew extraordinary bravery extraordinary fear became stuff legend based stephen e ambrose acclaimed book name
32,Paths of Glory,8.2,565.0,world war commanding officer general broulard adolphe menjou order subordinate general mireau george macready attack german trench position offering promotion incentive though mission foolhardy point suicide mireau command subordinate colonel dax kirk douglas plan attack end disaster general mireau demand court martial three random soldier order save face
33,Sunset Boulevard,8.2,533.0,hack screenwriter writes screenplay former silent film star faded hollywood obscurity
34,Piper,8.2,487.0,mother bird try teach little one find food process encounter traumatic experience must overcome order survive
35,City Lights,8.2,444.0,city light first silent film charlie chaplin directed established sound accompanied film film penniless man fall love flower girl film great success today deemed cult classic
36,Inception,8.1,14075.0,cobb skilled thief commits corporate espionage infiltrating subconscious target offered chance regain old life payment task considered impossible inception implantation another person idea target subconscious
37,Interstellar,8.1,11187.0,interstellar chronicle adventure group explorer make use newly discovered wormhole surpass limitation human space travel conquer vast distance involved interstellar voyage
38,The Lord of the Rings: The Return of the King,8.1,8226.0,aragorn revealed heir ancient king gandalf member broken fellowship struggle save gondor sauron force meanwhile frodo sam bring ring closer heart mordor dark lord realm
39,Star Wars,8.1,6778.0,princess leia captured held hostage evil imperial force effort take galactic empire venturesome luke skywalker dashing captain han solo team together loveable robot duo r c po rescue beautiful princess restore peace justice empire
40,Se7en,8.1,5915.0,two homicide detective desperate hunt serial killer whose crime based seven deadly sin dark haunting film take viewer tortured remains one victim next seasoned det sommerset research sin effort get inside killer mind novice partner mill scoff effort unravel case
41,The Silence of the Lambs,8.1,4549.0,fbi trainee clarice starling venture maximum security asylum pick diseased brain hannibal lecter psychiatrist turned homicidal cannibal starling need clue help capture serial killer faustian relationship lecter soon lead escape two deranged killer loose
42,Memento,8.1,4168.0,suffering short term memory loss head injury leonard shelby embarks grim quest find lowlife murdered wife gritty complex thriller pack knot hangman noose carry plan shelby snap polaroid people place jotting contextual note back photo aid search jog memory even tattoo body desperate bid remember
43,The Shining,8.1,3890.0,jack torrance accepts caretaker job overlook hotel along wife wendy son danny must live isolated rest world winter prepared madness lurks within
44,Reservoir Dogs,8.1,3821.0,botched robbery indicates police informant pressure mount aftermath warehouse crime begets violence survivor veteran mr white newcomer mr orange psychopathic parolee mr blonde bickering weasel mr pink nice guy eddie unravel
45,The Usual Suspects,8.1,3334.0,held l interrogation room verbal kint attempt convince fed mythic crime lord keyser soze exists also responsible drawing four partner multi million dollar heist ended explosion san pedro harbor leaving survivor verbal lure interrogator incredible story crime lord almost supernatural prowess
46,Room,8.1,2838.0,jack young boy year old lived life one room belief everything within real thing world happen suddenly tell thing outside room
47,Dead Poets Society,8.1,2786.0,elite old fashioned boarding school new england passionate english teacher inspires student rebel convention seize potential every day courting disdain stern headmaster
48,Taxi Driver,8.1,2632.0,mentally unstable vietnam war veteran work night time taxi driver new york city perceived decadence sleaze feed urge violent action attempting save preadolescent prostitute process
49,"The Good, the Bad and the Ugly",8.1,2371.0,civil war rage union confederacy three men quiet loner ruthless hit man mexican bandit comb american southwest search strongbox containing stolen gold
50,The Pianist,8.1,1927.0,pianist film adapted biography wladyslaw szpilman jewish polish pianist second world war lived hid miraculously warsaw gone terrible tragedy film roman polanski
51,Once Upon a Time in the West,8.1,1160.0,classic western masterpiece epic film widow whose land life danger railroad getting closer closer taking mysterious harmonica player join force desperado protect woman land
52,Modern Times,8.1,881.0,tramp struggle live modern industrial society help young homeless woman
53,The Great Dictator,8.1,756.0,dictator adenoid hynkel try expand empire poor jewish barber try avoid persecution hynkel regime
54,The Legend of 1900,8.1,554.0,story virtuoso piano player life entire life aboard ocean liner born raised ship tim roth learned outside world interaction passenger never setting foot land even love life year later ship may destroyed former band member fear may still aboard willing go ship
55,The Apartment,8.1,498.0,bud baxter minor clerk huge new york insurance company discovers quick way climb corporate ladder lends apartment executive place take mistress although often deal aftermath visit one night left major problem solve
56,The Handmaiden,8.1,453.0,korea period japanese occupation new girl sookee hired handmaiden japanese heiress hideko life secluded life large countryside estate domineering uncle kouzuki maid secret pickpocket recruited swindler posing japanese count help seduce lady elope rob fortune lock madhouse plan seems proceed according plan sookee hideko discover unexpected emotion
57,Song of the Sea,8.1,420.0,story last seal child journey home mother disappearance ben saoirse sent live granny city resolve return home sea journey becomes race time drawn world ben know mother folktale bedtime story fairy folk world far long soon becomes clear ben saoirse key survival
58,The Invisible Guest,8.1,395.0,invisible guest turn young businessman wake hotel room locked inside dead body lover next hire prestigious lawyer one night work together clarify happened frenetic race time
59,The Lord of the Rings: The Fellowship of the Ring,8.0,8892.0,young hobbit frodo baggins inheriting mysterious ring uncle bilbo must leave home order keep falling hand evil creator along way fellowship formed protect ringbearer make sure ring arrives final destination mt doom place destroyed
